9,"Latitude","Longitude","Date","Year","Militant Leaders Killed","militant_deaths_min","militant_deaths_max","civilian_deaths_min","civilian_deaths_max","deaths_min","deaths_max","Assumed Target","Source One","Source One link","Source Two","Source Two Link","Source Three","Source Three Link","Notes"
"Sararogha, near Wana, South Waziristan",33.683212,70.290527,"January 3, 2009",2009,"unknown",4,4,4,4,8,8,"Taliban stronghold; Mullah Nazir, Baitullah Mehsud’s rival","GeoTV","http://www.geo.tv/3-1-2009/36276.htm","Washington Post","http://www.washingtonpost.com/wp-dyn/content/article/2009/03/January AR2009030101890.html","New York Times","http://www.nytimes.com/2009/03/02/world/asia/02pstan.html",
"Gariwan, 19 miles south of Miram Shah, North Waziristan",32.320793,69.623795,"July 17, 2009",2009,"none",4,5,4,5,8,10,"Taliban militant camp","AP","http://www.google.com/hostednews/ap/article/ALeqM5hkiMxbHNH0BqgpWA2ZG6VD6wVTmAD99G6QO00","Agence France Press","http://www.google.com/hostednews/afp/article/ALeqM5hZ66bdnIqS9eEjbuOO1H9C2eL7Lg","Reuters","http://in.reuters.com/article/southAsiaNews/idINIndia-41120520090717",
"Machi Khel, near Mir Ali, North Waziristan",32.509182,69.798889,"September 7, 2009",2009,"Ilyas Kashmiri",3,5,5,7,8,12,"Militant stronghold in a madrassa (QAEDA)","AP","http://www.google.com/hostednews/ap/article/ALeqM5hkiMxbHNH0BqgpWA2ZG6VD6wVTmAD9AIJ56G0","Al Jazeera","http://english.aljazeera.net/news/asia/2009/09/200997163712748731.html","Dawn","http://www.dawn.com/wps/wcm/connect/dawn-content-library/dawn/news/pakistan/provinces/06-four-killed-in-drone-attack-in-north-waziristan-06-rs",
"Palooseen village in the district of Mir Ali, North Waziristan",33.010967,69.831848,"November 20, 2009",2009,"unknown",8,8," ",,8,8,"Compound used by Taliban militants","AP","http://www.nytimes.com/aponline/2009/11/20/world/AP-AS-Pakistan.html?scp=5&amp;sq=pakistan&amp;st=cse","New York Times","http://www.nytimes.com/reuters/2009/11/20/world/international-pakistan-violence.html?scp=10&amp;sq=pakistan&amp;st=cse","Dawn","http://www.dawn.com/wps/wcm/connect/dawn-content-library/dawn/news/pakistan/04-suspected-us-drone-fires-two-missiles-north-waziristan-qs-03",
"Datta Khel, 12 miles west of Miram Shah, North Waziristan",32.998299,69.612122,"March 16, 2010",2010,"unknown",8,11,,,8,11,"Pro-Taliban militant compounds/compound of Hafiz Gul Bahadur (TALIBAN)","BBC","http://news.bbc.co.uk/2/hi/south_asia/8569728.stm","Agence France Press","http://www.google.com/hostednews/afp/article/ALeqM5gcLJA2HOa88NfDaL03rNLWxwlaYA","Al Jazeera","http://english.aljazeera.net/news/asia/2010/03/201031692724310542.html",
"Mizai Nari,38 km west of Wana, South Waziristan",32.989082,69.716492,"May 28, 2010",2010,"unknown",8,11," ",,8,11,"taliban compound","Dawn","http://www.dawn.com/wps/wcm/connect/dawn-content-library/dawn/the-newspaper/front-page/8-militants-killed-in-us-drone-attack-950","The Nation","http://www.nation.com.pk/pakistan-news-newspaper-daily-english-online/Regional/Islamabad/28-May-2010/Drone-attack-kills-11-in-South-Waziristan","GeoTV","http://geo.tv/5-28-2010/65749.htm"" shape=""rect",
"Datta Khel, North Waziristan",32.979870,70.287094,"June 11, 2010",2010,"unknown",8,15," ",,8,15,"House belonging to militants in Hafiz Gul Bahadur’s group (TALIBAN)","AP","http://news.yahoo.com/s/ap/20100611/ap_on_re_as/as_pakistan","Agence France Press","http://ca.news.yahoo.com/s/afp/100611/world/pakistan_unrest_307","GeoTV","http://geo.tv/6-11-2010/66502.htm",
"Shakai region north of Wana in South Waziristan (Badar, according to CNN)",33.023632,70.074577,"October 26, 2008",2008,"none",0,,7,7,7,7,"Wana region is a stronghold of Mullah Nazir, a Taliban chieftain and rival of Pakistani Taliban leader Baitullah Mehsud","CNN","http://www.cnn.com/2008/WORLD/asiapcf/10/26/pakistan.airstrike/index.html","GeoTV","http://www.geo.tv/10-27-2008/27631.htm",,,
"Azam Warzak, South Waziristan",32.988220,70.046425,"December 11, 2008",2008,"none",3,3,4,4,7,7,"unclear","GeoTV","http://www.geo.tv/12-12-2008/30522.htm","Reuters","http://in.reuters.com/article/domesticNews/idINISL23166720081211",,,
"Makeen, South Waziristan",32.797665,70.496521,"March 25, 2009",2009,"unknown",6,6,1,1,7,7,"Baitullah Mehsud (Makeen is his hometown)","CNN","http://www.cnn.com/2009/WORLD/asiapcf/03/25/pakistan.missile.strike.dead/index.html","GeoTV","http://geo.tv/3-25-2009/38186.htm","Dawn","http://www.dawn.com/wps/wcm/connect/Dawn%20Content%20Library/dawn/news/pakistan/nwfp/six-us-drone-attacks-south-waziristan--qs",
"Datta Khel, near Miram Shah, North Waziristan",33.672928,70.911255,"April 4, 2009",2009,"unknown",4,10,3,9,7,19,"Haqqani is based in Miramshah; facilitator of Taliban Tariq Khan (HAQQANI/TALIBAN)","GeoTV","http://www.geo.tv/4-4-2009/39021.htm","Agence France Press","http://www.google.com/hostednews/afp/article/ALeqM5iB7gOoHENZvu3yXj8V6n1XWCGqDQ","Reuters","http://uk.reuters.com/article/burningIssues/idUKTRE53309720090404?sp=true",
"Zeralita in the Azam Warsak region of South Waziristan",32.622604,69.829102,"July 28, 2008",2008,"Abu Khaba al Masri (WMD expert)",3,3,3,3,6,6,"Abu Khabab al Masri","BBC","http://news.bbc.co.uk/2/hi/south_asia/7529419.stm","GeoTV","http://www.geo.tv/7-28-2008/21535.htm",,"Agence France Press",
"Wana, South Waziristan",32.552601,69.609375,"October 31, 2008",2008,"none",6,6,0,,6,6,"Mullah Nazir, rival of Baitullah Mehsud","GeoTV","http://www.geo.tv/10-31-2008/27916.htm","BBC","http://news.bbc.co.uk/2/hi/in_depth/7702679.stm",,,
"Sara Khwara, 25 km west of Wana, South Waziristan",32.479645,70.018616,"May 12, 2009",2009,"unknown",6,9,0,8,6,17,"Baitullah Mehsud (BM)","Reuters","http://in.reuters.com/article/domesticNews/idINISL8872220090512","Dawn","http://www.dawn.com/wps/wcm/connect/dawn-content-library/dawn/news/pakistan/11-us-drone-attack-in-south-waziristan-il-12","CNN","http://www.cnn.com/2009/WORLD/asiapcf/05/12/pakistan.drone.attack/index.html",
"Zamarai Nairai, near Kokat Khel, 28 miles east of Wana, South Waziristan",32.592525,69.599075,"July 3, 2009",2009,"unknown",6,15,0,5,6,20,"Baitullah Mehsud (BM)","New York Times","http://www.nytimes.com/2009/07/04/world/asia/04pstan.html?ref=global-home%29;""><span lang=""EN-US","BBC","http://news.bbc.co.uk/2/hi/south_asia/8131938.stm","CNN","http://edition.cnn.com/2009/WORLD/asiapcf/07/03/pakistan.drone.attack/?iref=",
"Karwan Manza, South Waziristan",32.527710,69.855881,"July 8, 2009",2009,"none",6,10,0,27,6,37,"Baitullah Mehsud (BM)","Reuters","http://www.nytimes.com/reuters/2009/07/08/world/international-pakistan-violence.html","Dawn","http://www.dawn.com/wps/wcm/connect/dawn-content-library/dawn/news/pakistan/04-suspected-us-missile-strike-hits-south-waziristan-qs-08","BBC","http://news.bbc.co.uk/2/hi/south_asia/8139739.stm",
"Lamal village, near Karikot, 6 miles SW of Wana, South Waziristan",33.021908,70.072174,"June 29, 2010",2010,"unknown",6,10," ",,6,10,"house of of militant commander Maulana Halimullah (TALIBAN/QAEDA)","Agence France Press","http://www.google.com/hostednews/afp/article/ALeqM5i1l6sUmhzghVC-YUvkMRSfOclnOg","AP","http://news.yahoo.com/s/ap/20100629/ap_on_re_as/as_pakistan"" shape=","BBC","http://news.bbc.co.uk/2/hi/world/south_asia/10443538.stm",
"Haisori, near Miram Shah, North Waziristan",32.987644,70.261345,"November 30, 2005",2005,"Abu Hamza Rabia",5,5,0,,5,5,"Abu Hamza Rabia","New York Times","http://www.nytimes.com/2005/12/04/international/asia/05cnd-qaeda.html","Christian Science Monitor",,"CNN",,
"Village outside Miram Shah, North Waziristan",32.991386,70.291901,"November 2, 2007",2007,"none",5,5,0,,5,5,"Taliban militants","New York Times","http://www.nytimes.com/2007/11/03/world/asia/03drone.html?_r=2",,,,,
"Korzai region near Wana, South Waziristan",32.301064,69.598389,"August 30, 2008",2008,"none",5,5," ",,5,5,"Noor Khan Wazir house; Mullah Nazir, rival of Baitullah Mehsud (TALIBAN)","Daily Times of Pakistan","http://www.dailytimes.com.pk/default.asp?page=2008%5C08%5C31%5Cstory_31-8-2008_pg7_5",,,,,
"Chaar Khel, North Waziristan",32.486595,69.279785,"September 4, 2008",2008,"Abu Wafa Al Saudi",1,1,4,4,5,5,"Haqqani network","Long War Journal","http://www.longwarjournal.org/archives/2008/09/report_us_airstrike.php","Wall Street Journal","http://online.wsj.com/article/SB124743959026229517.html","Dawn","http://www.dawn.com/2009/02/09/top4.htm""><FONT color=""#0000ff",
"Baghar Cheena region of South Waziristan, 55km west of Wana, near Angorada",33.004059,70.074921,"September 17, 2008",2008,"Abu Ubaydah al Tunisi, probably",5,5,0,,5,5,"Taliban camp","Reuters","http://www.reuters.com/article/topNews/idUSISL27126520080917","GeoTV","http://www.geo.tv/9-17-2008/25085.htm","Dawn","http://www.dawn.com/2009/02/09/top4.htm",
